Round |      k_i+3     |      k_i+2     |      k_i+1     |      k_i+0   
start |9CE73805171222E1|67FD8BAE41F85B4A|BDE2432699AC471D|4A99B7F867A1886C
0     |FC27BE32BEB77570|9CE73805171222E1|67FD8BAE41F85B4A|BDE2432699AC471D
1     |06587E857B6A57F6|FC27BE32BEB77570|9CE73805171222E1|67FD8BAE41F85B4A
2     |6A38586EDA4778A6|06587E857B6A57F6|FC27BE32BEB77570|9CE73805171222E1
3     |4AC8285A3FED8A4A|6A38586EDA4778A6|06587E857B6A57F6|FC27BE32BEB77570
4     |EB59878463949F6C|4AC8285A3FED8A4A|6A38586EDA4778A6|06587E857B6A57F6
5     |F55D5DABF9BAB6E4|EB59878463949F6C|4AC8285A3FED8A4A|6A38586EDA4778A6
6     |2B95E589C50F3587|F55D5DABF9BAB6E4|EB59878463949F6C|4AC8285A3FED8A4A
7     |BC09710A36BDB085|2B95E589C50F3587|F55D5DABF9BAB6E4|EB59878463949F6C
8     |771432347CB0E01F|BC09710A36BDB085|2B95E589C50F3587|F55D5DABF9BAB6E4
9     |AD6E707CE990F45F|771432347CB0E01F|BC09710A36BDB085|2B95E589C50F3587
10     |B91CFAF144B8B373|AD6E707CE990F45F|771432347CB0E01F|BC09710A36BDB085
11     |C3DAF52AB7764230|B91CFAF144B8B373|AD6E707CE990F45F|771432347CB0E01F
12     |E774747EE38E3DF6|C3DAF52AB7764230|B91CFAF144B8B373|AD6E707CE990F45F
13     |859AC1C2C2C2C509|E774747EE38E3DF6|C3DAF52AB7764230|B91CFAF144B8B373
14     |4C3E7E9523FE5B57|859AC1C2C2C2C509|E774747EE38E3DF6|C3DAF52AB7764230
15     |35AF6CAF2C80B01E|4C3E7E9523FE5B57|859AC1C2C2C2C509|E774747EE38E3DF6
16     |7A3331FDA88A7884|35AF6CAF2C80B01E|4C3E7E9523FE5B57|859AC1C2C2C2C509
17     |58A12AC2E0A5A491|7A3331FDA88A7884|35AF6CAF2C80B01E|4C3E7E9523FE5B57
18     |A2276C6614DFA260|58A12AC2E0A5A491|7A3331FDA88A7884|35AF6CAF2C80B01E
19     |931CA1190C66054F|A2276C6614DFA260|58A12AC2E0A5A491|7A3331FDA88A7884
20     |7A6F2F9376C8515C|931CA1190C66054F|A2276C6614DFA260|58A12AC2E0A5A491
21     |1C811863585FA702|7A6F2F9376C8515C|931CA1190C66054F|A2276C6614DFA260
22     |651250863FFB54E5|1C811863585FA702|7A6F2F9376C8515C|931CA1190C66054F
23     |D14889A49A355C93|651250863FFB54E5|1C811863585FA702|7A6F2F9376C8515C
24     |D06CDD90A7A22478|D14889A49A355C93|651250863FFB54E5|1C811863585FA702
25     |A3EEC9329928C0A1|D06CDD90A7A22478|D14889A49A355C93|651250863FFB54E5
26     |8D4257BA6D9CCDDC|A3EEC9329928C0A1|D06CDD90A7A22478|D14889A49A355C93
27     |CF91AA8F7AD3C04D|8D4257BA6D9CCDDC|A3EEC9329928C0A1|D06CDD90A7A22478
28     |3881A03D95163F78|CF91AA8F7AD3C04D|8D4257BA6D9CCDDC|A3EEC9329928C0A1
29     |136A64AE56763077|3881A03D95163F78|CF91AA8F7AD3C04D|8D4257BA6D9CCDDC
30     |C9BF3D527A70B742|136A64AE56763077|3881A03D95163F78|CF91AA8F7AD3C04D
31     |6103312CB25802E9|C9BF3D527A70B742|136A64AE56763077|3881A03D95163F78
32     |E7915C0C4ACA68BB|6103312CB25802E9|C9BF3D527A70B742|136A64AE56763077
33     |837E06EBA334C8F5|E7915C0C4ACA68BB|6103312CB25802E9|C9BF3D527A70B742
34     |0F9A4BA4A0AE9EB2|837E06EBA334C8F5|E7915C0C4ACA68BB|6103312CB25802E9
35     |EBAFD117FC179BCF|0F9A4BA4A0AE9EB2|837E06EBA334C8F5|E7915C0C4ACA68BB
36     |5960A15E47D8B10C|EBAFD117FC179BCF|0F9A4BA4A0AE9EB2|837E06EBA334C8F5
37     |3A6C895C80B47BD2|5960A15E47D8B10C|EBAFD117FC179BCF|0F9A4BA4A0AE9EB2
38     |8AF6D4790550FFA1|3A6C895C80B47BD2|5960A15E47D8B10C|EBAFD117FC179BCF
39     |487168D1D7239DB7|8AF6D4790550FFA1|3A6C895C80B47BD2|5960A15E47D8B10C
40     |1C4CA8C45F5F42A6|487168D1D7239DB7|8AF6D4790550FFA1|3A6C895C80B47BD2
41     |2853977236AD1821|1C4CA8C45F5F42A6|487168D1D7239DB7|8AF6D4790550FFA1
42     |AECFBCA6A3A221B6|2853977236AD1821|1C4CA8C45F5F42A6|487168D1D7239DB7
43     |1AD167D6E662E792|AECFBCA6A3A221B6|2853977236AD1821|1C4CA8C45F5F42A6
44     |3D3E31773FF15BE0|1AD167D6E662E792|AECFBCA6A3A221B6|2853977236AD1821
45     |2A702F41AF20E872|3D3E31773FF15BE0|1AD167D6E662E792|AECFBCA6A3A221B6
46     |21609078E6185999|2A702F41AF20E872|3D3E31773FF15BE0|1AD167D6E662E792
47     |70B5AAED2B3660D4|21609078E6185999|2A702F41AF20E872|3D3E31773FF15BE0
48     |3494199ACF6B9241|70B5AAED2B3660D4|21609078E6185999|2A702F41AF20E872
49     |5184CA5030D0A9B7|3494199ACF6B9241|70B5AAED2B3660D4|21609078E6185999
50     |0958C5F3A25DE976|5184CA5030D0A9B7|3494199ACF6B9241|70B5AAED2B3660D4
51     |802AD4A43279A7F1|0958C5F3A25DE976|5184CA5030D0A9B7|3494199ACF6B9241
52     |1A2ABEC3DD443E50|802AD4A43279A7F1|0958C5F3A25DE976|5184CA5030D0A9B7
53     |A1686E91FA208FA9|1A2ABEC3DD443E50|802AD4A43279A7F1|0958C5F3A25DE976
54     |18A30FC156017B8D|A1686E91FA208FA9|1A2ABEC3DD443E50|802AD4A43279A7F1
55     |1A749BFDC1C041BD|18A30FC156017B8D|A1686E91FA208FA9|1A2ABEC3DD443E50
56     |E6E0C22541AF05FC|1A749BFDC1C041BD|18A30FC156017B8D|A1686E91FA208FA9
57     |98D70D2904F1A6FE|E6E0C22541AF05FC|1A749BFDC1C041BD|18A30FC156017B8D
58     |4A85B74A380FCBA3|98D70D2904F1A6FE|E6E0C22541AF05FC|1A749BFDC1C041BD
59     |2DE32AA83BC63C8C|4A85B74A380FCBA3|98D70D2904F1A6FE|E6E0C22541AF05FC
60     |8AC1E198BC1D2BD9|2DE32AA83BC63C8C|4A85B74A380FCBA3|98D70D2904F1A6FE
61     |211BBC13434400B7|8AC1E198BC1D2BD9|2DE32AA83BC63C8C|4A85B74A380FCBA3
62     |185A3B0ABD89D689|211BBC13434400B7|8AC1E198BC1D2BD9|2DE32AA83BC63C8C
63     |2F3320D2DA43DAFD|185A3B0ABD89D689|211BBC13434400B7|8AC1E198BC1D2BD9
64     |B3BD2A6AD7E89239|2F3320D2DA43DAFD|185A3B0ABD89D689|211BBC13434400B7
65     |E7DF1288A87559E3|B3BD2A6AD7E89239|2F3320D2DA43DAFD|185A3B0ABD89D689
66     |1D8967376A9DE054|E7DF1288A87559E3|B3BD2A6AD7E89239|2F3320D2DA43DAFD
67     |78C6DAE7025A9C2B|1D8967376A9DE054|E7DF1288A87559E3|B3BD2A6AD7E89239
68     |80E6F8AB44366290|78C6DAE7025A9C2B|1D8967376A9DE054|E7DF1288A87559E3
69     |137F8944549C1C1B|80E6F8AB44366290|78C6DAE7025A9C2B|1D8967376A9DE054
70     |F58B26E0D9CF8FD5|137F8944549C1C1B|80E6F8AB44366290|78C6DAE7025A9C2B
71     |A64577540D2D3909|F58B26E0D9CF8FD5|137F8944549C1C1B|80E6F8AB44366290
